CUMUN,CPRO,NPRO,NMUN,AREA_GEO,ID_AREA_GEO,POB_AREA_GEO,COD_LITERAL_SCD,ID_GRUPO,POB_GRUPO,ID_COMPLETO_GRUPO,,
01004,01,Araba/Álava,Artziniega,MUNICIPIO,01004,1821,,01VI,5983,01004Artziniega,,
01010,01,Araba/Álava,Ayala/Aiara,MUNICIPIO,01010,2974,,01VI,5983,01010Ayala/Aiara,,
01042,01,Araba/Álava,Okondo,MUNICIPIO,01042,1188,,01VI,5983,01042Okondo,,
01006,01,Araba/Álava,Armiñón,MUNICIPIO,01006,227,,02VI,3604,01006Armiñón,,3214
01047,01,Araba/Álava,Ribera Baja/Erribera Beitia,MUNICIPIO,01047,1350,,02VI,3604,01047Ribera Baja/Erribera Beitia,,
01049,01,Araba/Álava,Añana,MUNICIPIO,01049,156,,02VI,3604,01049Añana,,TOTAL GRUPOS
01055,01,Araba/Álava,Valdegovía/Gaubea,MUNICIPIO,01055,996,,02VI,3604,01055Valdegovía/Gaubea,,
01902,01,Araba/Álava,Lantarón,MUNICIPIO,01902,875,,02VI,3604,01902Lantarón,,
01020,01,Araba/Álava,Kuartango,MUNICIPIO,01020,376,,03VI,5943,01020Kuartango,,
01046,01,Araba/Álava,Erriberagoitia/Ribera Alta,MUNICIPIO,01046,785,,03VI,5943,01046Erriberagoitia/Ribera Alta,,
01054,01,Araba/Álava,Urkabustaiz,MUNICIPIO,01054,1371,,03VI,5943,01054Urkabustaiz,,
01901,01,Araba/Álava,Iruña Oka/Iruña de Oca,MUNICIPIO,01901,3411,,03VI,5943,01901Iruña Oka/Iruña de Oca,,
01018,01,Araba/Álava,Zigoitia,MUNICIPIO,01018,1747,,04VI,4049,01018Zigoitia,,
01063,01,Araba/Álava,Zuia,MUNICIPIO,01063,2302,,04VI,4049,01063Zuia,,
01003,01,Araba/Álava,Aramaio,MUNICIPIO,01003,1467,,05VI,4332,01003Aramaio,,
01008,01,Araba/Álava,Arratzua-Ubarrundia,MUNICIPIO,01008,980,,05VI,4332,01008Arratzua-Ubarrundia,,
01058,01,Araba/Álava,Legutio,MUNICIPIO,01058,1885,,05VI,4332,01058Legutio,,
01001,01,Araba/Álava,Alegría-Dulantzi,MUNICIPIO,01001,2876,,06VI,7387,01001Alegría-Dulantzi,,
01009,01,Araba/Álava,Asparrena,MUNICIPIO,01009,1614,,06VI,7387,01009Asparrena,,
01013,01,Araba/Álava,Barrundia,MUNICIPIO,01013,883,,06VI,7387,01013Barrundia,,
01021,01,Araba/Álava,Elburgo/Burgelu,MUNICIPIO,01021,599,,06VI,7387,01021Elburgo/Burgelu,,
01027,01,Araba/Álava,Iruraiz-Gauna,MUNICIPIO,01027,517,,06VI,7387,01027Iruraiz-Gauna,,
01053,01,Araba/Álava,San Millán/Donemiliaga,MUNICIPIO,01053,715,,06VI,7387,01053San Millán/Donemiliaga,,
01061,01,Araba/Álava,Zalduondo,MUNICIPIO,01061,183,,06VI,7387,01061Zalduondo,,
01016,01,Araba/Álava,Bernedo,MUNICIPIO,01016,494,,07VI,7560,01016Bernedo,,
01017,01,Araba/Álava,Campezo/Kanpezu,MUNICIPIO,01017,1040,,07VI,7560,01017Campezo/Kanpezu,,
01019,01,Araba/Álava,Kripan,MUNICIPIO,01019,180,,07VI,7560,01019Kripan,,
01023,01,Araba/Álava,Elvillar/Bilar,MUNICIPIO,01023,333,,07VI,7560,01023Elvillar/Bilar,,
01032,01,Araba/Álava,Lanciego/Lantziego,MUNICIPIO,01032,691,,07VI,7560,01032Lanciego/Lantziego,,
01037,01,Araba/Álava,Arraia-Maeztu,MUNICIPIO,01037,726,,07VI,7560,01037Arraia-Maeztu,,
01039,01,Araba/Álava,Moreda de Álava/Moreda Araba,MUNICIPIO,01039,221,,07VI,7560,01039Moreda de Álava/Moreda Araba,,
01043,01,Araba/Álava,Oyón-Oion,MUNICIPIO,01043,3386,,07VI,7560,01043Oyón-Oion,,
01056,01,Araba/Álava,Harana/Valle de Arana,MUNICIPIO,01056,221,,07VI,7560,01056Harana/Valle de Arana,,
01060,01,Araba/Álava,Yécora/Iekora,MUNICIPIO,01060,268,,07VI,7560,01060Yécora/Iekora,,
01011,01,Araba/Álava,Baños de Ebro/Mañueta,MUNICIPIO,01011,291,,08VI,7403,01011Baños de Ebro/Mañueta,,
01014,01,Araba/Álava,Berantevilla,MUNICIPIO,01014,453,,08VI,7403,01014Berantevilla,,
01022,01,Araba/Álava,Elciego,MUNICIPIO,01022,1005,,08VI,7403,01022Elciego,,
01028,01,Araba/Álava,Labastida/Bastida,MUNICIPIO,01028,1452,,08VI,7403,01028Labastida/Bastida,,
01030,01,Araba/Álava,Lagrán,MUNICIPIO,01030,157,,08VI,7403,01030Lagrán,,
