time,origin,dest,count
2020-03-16,2,3,260
2020-03-16,2,13,397
2020-03-16,2,16,543
2020-03-16,2,30,228
2020-03-16,2,46,364
2020-03-16,3,2,201
2020-03-16,3,30,2627
2020-03-16,3,46,1118
2020-03-16,4,3,16
2020-03-16,4,8,16
2020-03-16,4,18,192
2020-03-16,4,52,18
2020-03-16,4,30,1174
2020-03-16,1,48,710
2020-03-16,1,9,767
2020-03-16,1,20,154
2020-03-16,1,31,41
2020-03-16,1,26,437
2020-03-16,33,39,169
2020-03-16,33,24,42
2020-03-16,33,27,676
2020-03-16,6,13,51
2020-03-16,6,10,868
2020-03-16,6,14,54
2020-03-16,6,21,334
2020-03-16,8,17,2322
2020-03-16,8,25,184
2020-03-16,8,31,16
2020-03-16,8,43,899
2020-03-16,8,50,32
2020-03-16,48,1,1433
2020-03-16,48,9,149
2020-03-16,48,39,493
2020-03-16,48,20,1784
2020-03-16,9,1,1695
2020-03-16,9,48,38
2020-03-16,9,34,473
2020-03-16,9,40,63
2020-03-16,9,42,27
2020-03-16,9,47,69
2020-03-16,39,33,183
2020-03-16,39,48,2343
2020-03-16,39,9,25
2020-03-16,39,34,141
2020-03-16,12,43,643
2020-03-16,12,44,25
2020-03-16,12,46,556
2020-03-16,51,11,29
2020-03-16,13,2,660
2020-03-16,13,6,56
2020-03-16,13,16,38
2020-03-16,13,14,285
2020-03-16,13,45,268
2020-03-16,15,48,20
2020-03-16,15,27,571
2020-03-16,15,36,3563
2020-03-16,16,2,438
2020-03-16,16,19,63
2020-03-16,16,28,75
2020-03-16,16,45,95
2020-03-16,16,46,98
2020-03-16,10,6,949
2020-03-16,10,45,167
2020-03-16,10,5,109
2020-03-16,11,21,386
2020-03-16,11,29,824
2020-03-16,11,41,693
2020-03-16,14,6,47
2020-03-16,14,13,349
2020-03-16,14,18,236
2020-03-16,14,23,856
2020-03-16,14,29,198
2020-03-16,14,41,1547
2020-03-16,20,1,183
2020-03-16,20,48,1554
2020-03-16,20,31,357
2020-03-16,17,8,2443
2020-03-16,17,25,96
2020-03-16,18,4,331
2020-03-16,18,14,187
2020-03-16,18,23,141
2020-03-16,18,29,230
2020-03-16,19,16,30
2020-03-16,19,28,2628
2020-03-16,21,6,211
2020-03-16,21,11,671
2020-03-16,21,41,378
2020-03-16,22,25,388
2020-03-16,22,50,144
2020-03-16,23,2,16
2020-03-16,23,13,25
2020-03-16,23,14,617
2020-03-16,23,18,155
2020-03-16,24,33,35
2020-03-16,24,27,60
2020-03-16,24,32,273
2020-03-16,24,34,25
2020-03-16,24,47,27
2020-03-16,24,49,66
2020-03-16,25,8,86
2020-03-16,25,17,109
2020-03-16,25,22,434
2020-03-16,25,50,153
2020-03-16,27,33,785
2020-03-16,27,15,523
2020-03-16,27,24,26
2020-03-16,27,32,243
2020-03-16,27,36,27
2020-03-16,28,16,32
2020-03-16,28,19,2036
2020-03-16,28,45,3821
2020-03-16,28,5,120
2020-03-16,52,4,26
2020-03-16,30,2,99
2020-03-16,30,3,2666
2020-03-16,30,4,1784
2020-03-16,30,16,16
2020-03-16,29,11,1182
2020-03-16,29,14,223
2020-03-16,29,18,196
2020-03-16,29,52,34
2020-03-16,29,41,96
2020-03-16,31,1,136
2020-03-16,31,20,272
2020-03-16,31,26,1558
2020-03-16,31,42,24
2020-03-16,31,50,392
2020-03-16,32,24,309
2020-03-16,32,27,150
2020-03-16,32,36,165
2020-03-16,32,49,41
2020-03-16,34,9,404
2020-03-16,34,39,60
2020-03-16,34,47,35
2020-03-16,36,15,4861
2020-03-16,36,27,26
2020-03-16,36,32,178
2020-03-16,26,1,1222
2020-03-16,26,9,58
2020-03-16,26,31,2002
2020-03-16,37,5,250
2020-03-16,40,9,53
2020-03-16,40,28,64
2020-03-16,40,42,53
2020-03-16,40,47,246
2020-03-16,40,5,138
2020-03-16,41,6,45
2020-03-16,41,11,845
2020-03-16,41,14,1414
2020-03-16,41,21,710
2020-03-16,41,29,260
2020-03-16,42,47,34
2020-03-16,42,50,48
2020-03-16,43,8,1355
2020-03-16,43,12,812
2020-03-16,43,44,42
2020-03-16,44,43,31
2020-03-16,44,50,93
2020-03-16,45,13,266
2020-03-16,45,16,122
2020-03-16,45,10,220
2020-03-16,45,28,3894
2020-03-16,45,5,182
2020-03-16,46,2,293
2020-03-16,46,3,1066
2020-03-16,46,7,45
2020-03-16,46,12,715
2020-03-16,46,16,50
2020-03-16,46,28,20
2020-03-16,47,9,47
2020-03-16,47,24,55
2020-03-16,47,34,93
2020-03-16,47,40,301
2020-03-16,47,42,72
2020-03-16,47,49,68
2020-03-16,47,5,25
2020-03-16,49,24,80
2020-03-16,49,32,21
2020-03-16,49,47,29
2020-03-16,50,8,16
2020-03-16,50,22,218
2020-03-16,50,25,146
2020-03-16,50,31,614
2020-03-16,50,42,70
2020-03-16,50,44,106
2020-03-16,5,10,69
2020-03-16,5,28,197
2020-03-16,5,37,156
2020-03-16,5,40,50
2020-03-16,5,45,204
2020-03-18,2,3,229
2020-03-18,2,13,393
2020-03-18,2,16,586
2020-03-18,2,30,341
2020-03-18,2,46,271
2020-03-18,3,2,168
2020-03-18,3,30,2659
2020-03-18,3,46,717
2020-03-18,4,18,266
2020-03-18,4,30,1040
2020-03-18,1,48,749
2020-03-18,1,9,713
2020-03-18,1,20,146
2020-03-18,1,31,20
2020-03-18,1,26,483
2020-03-18,33,39,169
2020-03-18,33,24,40
2020-03-18,33,27,648
2020-03-18,33,49,28
2020-03-18,6,13,48
2020-03-18,6,10,888
2020-03-18,6,14,61
2020-03-18,6,21,297
2020-03-18,6,41,47
2020-03-18,7,8,208
2020-03-18,8,7,22
2020-03-18,8,17,1905
2020-03-18,8,25,218
2020-03-18,8,43,751
2020-03-18,48,1,1181
2020-03-18,48,9,127
2020-03-18,48,39,504
2020-03-18,48,20,1347
2020-03-18,9,1,1407
2020-03-18,9,48,39
2020-03-18,9,34,506
2020-03-18,9,26,47
2020-03-18,9,40,70
2020-03-18,9,42,75
2020-03-18,9,47,125
2020-03-18,39,33,196
2020-03-18,39,48,2049
2020-03-18,39,34,165
2020-03-18,12,17,18
2020-03-18,12,43,665
2020-03-18,12,44,60
2020-03-18,12,46,563
2020-03-18,51,11,16
2020-03-18,13,2,634
2020-03-18,13,6,54
2020-03-18,13,16,126
2020-03-18,13,14,213
2020-03-18,13,45,249
2020-03-18,15,27,442
2020-03-18,15,36,3798
2020-03-18,16,2,448
2020-03-18,16,19,47
2020-03-18,16,28,59
2020-03-18,16,45,65
2020-03-18,16,46,66
2020-03-18,10,6,820
2020-03-18,10,45,494
2020-03-18,10,5,272
2020-03-18,11,51,22
2020-03-18,11,21,469
2020-03-18,11,29,676
2020-03-18,11,41,586
2020-03-18,14,6,51
2020-03-18,14,13,348
2020-03-18,14,18,266
2020-03-18,14,23,679
2020-03-18,14,29,150
2020-03-18,14,41,1582
2020-03-18,20,1,180
2020-03-18,20,48,1040
2020-03-18,20,31,279
2020-03-18,17,8,2305
2020-03-18,17,25,114
2020-03-18,18,4,299
2020-03-18,18,14,130
2020-03-18,18,23,123
2020-03-18,18,29,207
2020-03-18,19,28,2276
2020-03-18,21,6,210
2020-03-18,21,11,638
2020-03-18,21,41,379
2020-03-18,22,25,443
2020-03-18,22,50,151
2020-03-18,23,2,58
2020-03-18,23,14,593
2020-03-18,23,18,180
2020-03-18,24,33,55
2020-03-18,24,32,389
2020-03-18,24,34,24
2020-03-18,24,47,29
2020-03-18,24,49,30
2020-03-18,25,8,116
2020-03-18,25,17,97
2020-03-18,25,22,557
2020-03-18,25,50,152
2020-03-18,27,33,873
2020-03-18,27,15,487
2020-03-18,27,32,226
2020-03-18,28,16,41
2020-03-18,28,19,1877
2020-03-18,28,45,3010
2020-03-18,28,5,112
2020-03-18,52,17,16
2020-03-18,52,29,41
2020-03-18,30,2,296
2020-03-18,30,3,2667
2020-03-18,30,4,1580
2020-03-18,30,17,29
2020-03-18,29,11,925
2020-03-18,29,14,273
2020-03-18,29,18,151
2020-03-18,29,23,20
2020-03-18,29,41,71
2020-03-18,31,1,110
2020-03-18,31,20,251
2020-03-18,31,26,1575
2020-03-18,31,50,444
2020-03-18,32,24,350
2020-03-18,32,27,130
2020-03-18,32,36,176
2020-03-18,32,49,48
2020-03-18,34,9,414
2020-03-18,34,39,39
2020-03-18,34,24,35
2020-03-18,34,47,23
2020-03-18,36,15,4612
2020-03-18,36,32,173
2020-03-18,26,1,1285
2020-03-18,26,9,59
2020-03-18,26,31,1767
2020-03-18,37,49,33
2020-03-18,37,5,327
2020-03-18,40,9,21
2020-03-18,40,28,42
2020-03-18,40,47,268
2020-03-18,40,5,72
2020-03-18,41,6,47
2020-03-18,41,11,751
2020-03-18,41,14,1421
2020-03-18,41,21,666
2020-03-18,41,29,225
2020-03-18,42,47,24
2020-03-18,42,50,52
2020-03-18,43,8,1135
2020-03-18,43,12,900
2020-03-18,43,44,47
2020-03-18,44,12,66
2020-03-18,44,43,34
2020-03-18,44,50,147
2020-03-18,45,13,184
2020-03-18,45,16,198
2020-03-18,45,10,173
2020-03-18,45,28,3502
2020-03-18,45,5,224
2020-03-18,46,2,211
2020-03-18,46,3,1030
2020-03-18,46,7,123
2020-03-18,46,12,623
2020-03-18,46,16,35
2020-03-18,47,9,55
2020-03-18,47,24,34
2020-03-18,47,34,51
2020-03-18,47,40,178
2020-03-18,47,42,48
2020-03-18,47,49,42
2020-03-18,49,24,120
2020-03-18,49,32,21
2020-03-18,49,47,75
2020-03-18,50,22,179
2020-03-18,50,25,78
2020-03-18,50,31,547
2020-03-18,50,42,163
2020-03-18,5,10,85
2020-03-18,5,28,74
2020-03-18,5,37,225
2020-03-18,5,40,120
2020-03-18,5,45,217
2020-03-18,5,47,19
2020-03-20,2,3,198
2020-03-20,2,13,450
2020-03-20,2,16,512
2020-03-20,2,30,179
2020-03-20,2,46,286
2020-03-20,3,2,129
2020-03-20,3,30,2310
2020-03-20,3,29,23
2020-03-20,3,46,834
2020-03-20,4,18,213
2020-03-20,4,30,941
2020-03-20,1,48,486
2020-03-20,1,9,635
2020-03-20,1,20,116
2020-03-20,1,26,455
2020-03-20,33,39,167
2020-03-20,33,24,46
2020-03-20,33,27,583
2020-03-20,6,13,46
2020-03-20,6,10,841
2020-03-20,6,14,49
2020-03-20,6,21,361
2020-03-20,8,7,19
2020-03-20,8,17,1800
2020-03-20,8,25,174
2020-03-20,8,38,23
2020-03-20,8,43,820
2020-03-20,48,1,728
2020-03-20,48,9,31
2020-03-20,48,39,355
2020-03-20,48,20,743
2020-03-20,9,1,1186
2020-03-20,9,48,16
2020-03-20,9,34,551
2020-03-20,9,26,54
2020-03-20,9,40,121
2020-03-20,9,42,69
2020-03-20,9,47,110
2020-03-20,39,33,161
2020-03-20,39,48,1533
