name,id
Albacete,2
Alicante/Alacant,3
Almería,4
Araba/Álava,1
Asturias,33
Badajoz,6
"Balears, Illes",7
Barcelona,8
Bizkaia,48
Burgos,9
Cantabria,39
Castellón/Castelló,12
Ceuta,51
Ciudad Real,13
"Coruña, A",15
Cuenca,16
Cáceres,10
Cádiz,11
Córdoba,14
Gipuzkoa,20
Girona,17
Granada,18
Guadalajara,19
Huelva,21
Huesca,22
Jaén,23
León,24
Lleida,25
Lugo,27
Madrid,28
Melilla,52
Murcia,30
Málaga,29
Navarra,31
Ourense,32
Palencia,34
"Palmas, Las",35
Pontevedra,36
"Rioja, La",26
Salamanca,37
Santa Cruz de Tenerife,38
Segovia,40
Sevilla,41
Soria,42
Tarragona,43
Teruel,44
Toledo,45
Valencia/València,46
Valladolid,47
Zamora,49
Zaragoza,50
Ávila,5
